ts_code,trade_date,price,percent
002120.SZ,20241106,5.4,0.89
002120.SZ,20241106,5.5,0.89
002120.SZ,20241106,5.6,0.69
002120.SZ,20241106,5.7,2.24
002120.SZ,20241106,5.8,2.24
002120.SZ,20241106,5.9,0.36
002120.SZ,20241106,6.0,0.36
002120.SZ,20241106,6.1,1.48
002120.SZ,20241106,6.2,1.71
002120.SZ,20241106,6.3,1.49
002120.SZ,20241106,6.4,1.16
002120.SZ,20241106,6.5,1.45
002120.SZ,20241106,6.6,1.9
002120.SZ,20241106,6.7,2.98
002120.SZ,20241106,6.8,3.14
002120.SZ,20241106,6.9,3.19
002120.SZ,20241106,7.0,3.58
002120.SZ,20241106,7.1,3.6
002120.SZ,20241106,7.2,4.0
002120.SZ,20241106,7.3,4.19
002120.SZ,20241106,7.4,3.71
002120.SZ,20241106,7.5,3.55
002120.SZ,20241106,7.6,3.48
002120.SZ,20241106,7.7,2.96
002120.SZ,20241106,7.8,2.28
002120.SZ,20241106,7.9,1.91
002120.SZ,20241106,8.0,1.26
002120.SZ,20241106,8.1,1.1
002120.SZ,20241106,8.2,3.69
002120.SZ,20241106,8.3,6.14
002120.SZ,20241106,8.4,6.5
002120.SZ,20241106,8.5,5.87
002120.SZ,20241106,8.6,3.21
002120.SZ,20241106,8.7,2.59
002120.SZ,20241106,8.8,2.09
002120.SZ,20241106,8.9,1.63
002120.SZ,20241106,9.0,1.46
002120.SZ,20241106,9.1,1.29
002120.SZ,20241106,9.2,1.24
002120.SZ,20241106,9.3,0.62
002120.SZ,20241106,9.4,0.54
002120.SZ,20241106,9.5,0.33
002120.SZ,20241106,9.6,0.3
002120.SZ,20241106,9.7,0.14
002120.SZ,20241106,9.8,0.06
002120.SZ,20241106,9.9,0.04
002120.SZ,20241106,10.0,0.04
002120.SZ,20241106,10.1,0.06
002120.SZ,20241106,10.2,0.06
002120.SZ,20241106,10.3,0.06
002120.SZ,20241106,10.4,0.06
002120.SZ,20241106,10.5,0.05
002120.SZ,20241106,10.6,0.05
002120.SZ,20241106,10.7,0.02
002120.SZ,20241106,10.8,0.02
002120.SZ,20241106,10.9,0.0
002120.SZ,20241106,11.0,0.0
002120.SZ,20241106,11.1,0.02
002120.SZ,20241106,11.2,0.02
002120.SZ,20241106,11.3,0.02
002120.SZ,20241106,11.4,0.02
002120.SZ,20241106,11.5,0.02
002120.SZ,20241106,11.6,0.02
